,Date,Worth,Day,Label
0,30-12-2017,4,Sat,holiday
1,31-12-2017,4,Sun,holiday
2,01-01-2018,2.5,Mon,"holiday,kirtan"
3,02-01-2018,3.75,Tue,holiday
4,03-01-2018,3.5,Wed,holiday
5,04-01-2018,4.5,Thu,holiday
6,05-01-2018,5.5,Fri,holiday
7,06-01-2018,5.5,Sat,holiday
8,07-01-2018,5.5,Sun,
9,08-01-2018,7.5,Mon,
10,09-01-2018,5.5,Tue,
11,10-01-2018,6.5,Wed,
12,11-01-2018,6.5,Thu,
13,12-01-2018,6.5,Fri,
14,13-01-2018,6.5,Sat,
15,14-01-2018,6.5,Sun,
16,15-01-2018,6.5,Mon,
17,16-01-2018,6.5,Tue,
18,17-01-2018,6.5,Wed,
19,18-01-2018,6.5,Thu,
